id,type
basket-data,database
payment-api,service
webhooks-api,service
webshoppingagg,service
rabbitmq,broker
webmvc,service
ordering-signalrhub,service
mobileshoppingapigw,service
catalog-api,service
basket-api,service
webshoppingapigw,service
mobileshoppingagg,service
identity-api,service
webspa,service
ordering-backgroundtasks,service
ordering-api,service
webstatus,service
sql-data,database
keystore-data,database
